,0,1,2,3,4
asOfDate,2019-09-30 00:00:00,2020-09-30 00:00:00,2021-09-30 00:00:00,2022-09-30 00:00:00,2023-09-30 00:00:00
periodType,12M,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD,USD
AccountsPayable,,42296000000.0,54763000000.0,64115000000.0,62611000000.0
AccountsReceivable,,16120000000.0,26278000000.0,28184000000.0,29508000000.0
AccumulatedDepreciation,,-66760000000.0,-70283000000.0,-72340000000.0,-70884000000.0
AvailableForSaleSecurities,,100887000000.0,127877000000.0,120805000000.0,100544000000.0
CapitalLeaseObligations,,9842000000.0,11803000000.0,12411000000.0,12842000000.0
CapitalStock,,50779000000.0,57365000000.0,64849000000.0,73812000000.0
CashAndCashEquivalents,,38016000000.0,34940000000.0,23646000000.0,29965000000.0
CashCashEquivalentsAndShortTermInvestments,,90943000000.0,62639000000.0,48304000000.0,61555000000.0
CashEquivalents,,20243000000.0,17635000000.0,5100000000.0,1606000000.0
CashFinancial,,17773000000.0,17305000000.0,18546000000.0,28359000000.0
CommercialPaper,,4996000000.0,6000000000.0,9982000000.0,5985000000.0
CommonStock,,50779000000.0,57365000000.0,64849000000.0,73812000000.0
CommonStockEquity,,65339000000.0,63090000000.0,50672000000.0,62146000000.0
CurrentAssets,,143713000000.0,134836000000.0,135405000000.0,143566000000.0
CurrentCapitalLeaseObligation,,1460000000.0,1528000000.0,1663000000.0,1575000000.0
CurrentDebt,,13769000000.0,15613000000.0,21110000000.0,15807000000.0
CurrentDebtAndCapitalLeaseObligation,,15229000000.0,17141000000.0,22773000000.0,17382000000.0
CurrentDeferredLiabilities,,6643000000.0,7612000000.0,7912000000.0,8061000000.0
CurrentDeferredRevenue,,6643000000.0,7612000000.0,7912000000.0,8061000000.0
CurrentLiabilities,,105392000000.0,125481000000.0,153982000000.0,145308000000.0
GainsLossesNotAffectingRetainedEarnings,,-406000000.0,163000000.0,-11109000000.0,-11452000000.0
GrossPPE,,112096000000.0,119810000000.0,124874000000.0,125260000000.0
IncomeTaxPayable,,,,6552000000.0,8819000000.0
Inventory,,4061000000.0,6580000000.0,4946000000.0,6331000000.0
InvestedCapital,,177775000000.0,187809000000.0,170741000000.0,173234000000.0
InvestmentinFinancialAssets,,100887000000.0,127877000000.0,120805000000.0,100544000000.0
InvestmentsAndAdvances,,100887000000.0,127877000000.0,120805000000.0,100544000000.0
LandAndImprovements,,17952000000.0,20041000000.0,22126000000.0,23446000000.0
Leases,,10283000000.0,11023000000.0,11271000000.0,12839000000.0
LongTermCapitalLeaseObligation,,8382000000.0,10275000000.0,10748000000.0,11267000000.0
LongTermDebt,,98667000000.0,109106000000.0,98959000000.0,95281000000.0
LongTermDebtAndCapitalLeaseObligation,,107049000000.0,119381000000.0,109707000000.0,106548000000.0
MachineryFurnitureEquipment,,75291000000.0,78659000000.0,81060000000.0,78314000000.0
NetDebt,,74420000000.0,89779000000.0,96423000000.0,81123000000.0
NetPPE,,45336000000.0,49527000000.0,52534000000.0,54376000000.0
NetTangibleAssets,,65339000000.0,63090000000.0,50672000000.0,62146000000.0
NonCurrentDeferredAssets,,,,15375000000.0,17852000000.0
NonCurrentDeferredTaxesAssets,,,,15375000000.0,17852000000.0
OrdinarySharesNumber,,16976763000.0,16426786000.0,15943425000.0,15550061000.0
OtherCurrentAssets,,11264000000.0,14111000000.0,21223000000.0,14695000000.0
OtherCurrentBorrowings,,8773000000.0,9613000000.0,11128000000.0,9822000000.0
OtherCurrentLiabilities,,41224000000.0,45965000000.0,52630000000.0,48435000000.0
OtherEquityAdjustments,,-406000000.0,163000000.0,-11109000000.0,-11452000000.0
OtherInvestments,105341000000.0,100887000000.0,127877000000.0,120805000000.0,
OtherNonCurrentAssets,,33952000000.0,38762000000.0,28636000000.0,36245000000.0
OtherNonCurrentLiabilities,,17938000000.0,18361000000.0,21737000000.0,23124000000.0
OtherProperties,,8570000000.0,10087000000.0,10417000000.0,10661000000.0
OtherReceivables,,21325000000.0,25228000000.0,32748000000.0,31477000000.0
OtherShortTermInvestments,,52927000000.0,27699000000.0,24658000000.0,31590000000.0
Payables,,42296000000.0,54763000000.0,70667000000.0,71430000000.0
PayablesAndAccruedExpenses,,42296000000.0,54763000000.0,70667000000.0,71430000000.0
Properties,,0.0,0.0,0.0,0.0
Receivables,,37445000000.0,51506000000.0,60932000000.0,60985000000.0
RetainedEarnings,,14966000000.0,5562000000.0,-3068000000.0,-214000000.0
ShareIssued,,16976763000.0,16426786000.0,15943425000.0,15550061000.0
StockholdersEquity,,65339000000.0,63090000000.0,50672000000.0,62146000000.0
TangibleBookValue,,65339000000.0,63090000000.0,50672000000.0,62146000000.0
TotalAssets,,323888000000.0,351002000000.0,352755000000.0,352583000000.0
TotalCapitalization,,164006000000.0,172196000000.0,149631000000.0,157427000000.0
TotalDebt,,122278000000.0,136522000000.0,132480000000.0,123930000000.0
TotalEquityGrossMinorityInterest,,65339000000.0,63090000000.0,50672000000.0,62146000000.0
TotalLiabilitiesNetMinorityInterest,,258549000000.0,287912000000.0,302083000000.0,290437000000.0
TotalNonCurrentAssets,,180175000000.0,216166000000.0,217350000000.0,209017000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,,153157000000.0,162431000000.0,148101000000.0,145129000000.0
TotalTaxPayable,,,,6552000000.0,8819000000.0
TradeandOtherPayablesNonCurrent,,28170000000.0,24689000000.0,16657000000.0,15457000000.0
TreasurySharesNumber,,,,,0.0
WorkingCapital,,38321000000.0,9355000000.0,-18577000000.0,-1742000000.0
