,0,1,2,3,4,5
asOfDate,2019-09-30 00:00:00,2020-09-30 00:00:00,2021-09-30 00:00:00,2022-09-30 00:00:00,2023-09-30 00:00:00,2024-06-30 00:00:00
periodType,12M,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD,USD
BeginningCashPosition,,50224000000.0,39789000000.0,35929000000.0,24977000000.0,29898000000.0
CapitalExpenditure,,-7309000000.0,-11085000000.0,-10708000000.0,-10959000000.0,-8702000000.0
CashDividendsPaid,,-14081000000.0,-14467000000.0,-14841000000.0,-15025000000.0,-15188000000.0
CashFlowFromContinuingFinancingActivities,,-86820000000.0,-93353000000.0,-110749000000.0,-108488000000.0,-120188000000.0
CashFlowFromContinuingInvestingActivities,,-4289000000.0,-14545000000.0,-22354000000.0,3705000000.0,3884000000.0
CashFlowFromContinuingOperatingActivities,,80674000000.0,104038000000.0,122151000000.0,110543000000.0,113041000000.0
ChangeInAccountPayable,,-4062000000.0,12326000000.0,9448000000.0,-1889000000.0,-270000000.0
ChangeInCashSupplementalAsReported,,-10435000000.0,-3860000000.0,-10952000000.0,5760000000.0,-3263000000.0
ChangeInInventory,,-127000000.0,-2642000000.0,1484000000.0,-1618000000.0,993000000.0
ChangeInOtherCurrentAssets,,-9588000000.0,-8042000000.0,-6499000000.0,-5684000000.0,-6447000000.0
ChangeInOtherCurrentLiabilities,,8916000000.0,7475000000.0,6110000000.0,3031000000.0,47000000.0
ChangeInOtherWorkingCapital,-625000000.0,2081000000.0,1676000000.0,478000000.0,,
ChangeInPayable,,-4062000000.0,12326000000.0,9448000000.0,-1889000000.0,-270000000.0
ChangeInPayablesAndAccruedExpense,,-4062000000.0,12326000000.0,9448000000.0,-1889000000.0,-270000000.0
ChangeInReceivables,,8470000000.0,-14028000000.0,-9343000000.0,-417000000.0,-3340000000.0
ChangeInWorkingCapital,,5690000000.0,-4911000000.0,1200000000.0,-6577000000.0,-9017000000.0
ChangesInAccountReceivables,,6917000000.0,-10125000000.0,-1823000000.0,-1688000000.0,-2600000000.0
ChangesInCash,,-10435000000.0,-3860000000.0,-10952000000.0,5760000000.0,-3263000000.0
CommonStockDividendPaid,,-14081000000.0,-14467000000.0,-14841000000.0,-15025000000.0,-15188000000.0
CommonStockIssuance,781000000.0,880000000.0,1105000000.0,,,
CommonStockPayments,,-72358000000.0,-85971000000.0,-89402000000.0,-77550000000.0,-90869000000.0
DeferredIncomeTax,-340000000.0,-215000000.0,-4774000000.0,895000000.0,,
DeferredTax,-340000000.0,-215000000.0,-4774000000.0,895000000.0,,
DepreciationAmortizationDepletion,,11056000000.0,11284000000.0,11104000000.0,11519000000.0,11187000000.0
DepreciationAndAmortization,,11056000000.0,11284000000.0,11104000000.0,11519000000.0,11187000000.0
EndCashPosition,,39789000000.0,35929000000.0,24977000000.0,30737000000.0,26635000000.0
