,0,1,2,3,4,5,6,7
asOfDate,2020-09-30 00:00:00,2021-09-30 00:00:00,2022-09-30 00:00:00,2023-09-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
periodType,12M,12M,12M,12M,TTM,TTM,TTM,TTM
currencyCode,USD,USD,USD,USD,USD,USD,USD,USD
BasicAverageShares,17352119000.0,16701272000.0,16215963000.0,15744231000.0,15744231000.0,15648491000.0,15553166500.0,15450643500.0
BasicEPS,3.31,5.67,6.15,6.16,6.16,6.46,6.46,6.6
CostOfRevenue,169559000000.0,212981000000.0,223546000000.0,214137000000.0,,,,208372000000.0
DilutedAverageShares,17528214000.0,16864919000.0,16325819000.0,15812547000.0,15812547000.0,15717777750.0,15622192500.0,15515481000.0
DilutedEPS,3.28,5.61,6.11,6.13,6.13,6.43,6.43,6.57
DilutedNIAvailtoComStockholders,57411000000.0,94680000000.0,99803000000.0,96995000000.0,,,,101956000000.0
EBIT,69964000000.0,111852000000.0,122034000000.0,117669000000.0,,,,123962000000.0
EBITDA,81020000000.0,123136000000.0,133138000000.0,129188000000.0,,,,135149000000.0
GrossProfit,104956000000.0,152836000000.0,170782000000.0,169148000000.0,,,,177231000000.0
InterestExpense,2873000000.0,2645000000.0,2931000000.0,3933000000.0,,,,
InterestExpenseNonOperating,2873000000.0,2645000000.0,2931000000.0,3933000000.0,,,,
InterestIncome,3763000000.0,2843000000.0,2825000000.0,3750000000.0,,,,
InterestIncomeNonOperating,3763000000.0,2843000000.0,2825000000.0,3750000000.0,,,,
NetIncome,57411000000.0,94680000000.0,99803000000.0,96995000000.0,,,,101956000000.0
NetIncomeCommonStockholders,57411000000.0,94680000000.0,99803000000.0,96995000000.0,,,,101956000000.0
NetIncomeContinuousOperations,57411000000.0,94680000000.0,99803000000.0,96995000000.0,,,,101956000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,57411000000.0,94680000000.0,99803000000.0,96995000000.0,,,,101956000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,57411000000.0,94680000000.0,99803000000.0,96995000000.0,,,,101956000000.0
NetIncomeIncludingNoncontrollingInterests,57411000000.0,94680000000.0,99803000000.0,96995000000.0,,,,101956000000.0
NetInterestIncome,890000000.0,198000000.0,-106000000.0,-183000000.0,,,,
NetNonOperatingInterestIncomeExpense,890000000.0,198000000.0,-106000000.0,-183000000.0,,,,
NormalizedEBITDA,81020000000.0,123136000000.0,133138000000.0,129188000000.0,,,,135149000000.0
NormalizedIncome,57411000000.0,94680000000.0,99803000000.0,96995000000.0,,,,101956000000.0
OperatingExpense,38668000000.0,43887000000.0,51345000000.0,54847000000.0,,,,56637000000.0
OperatingIncome,66288000000.0,108949000000.0,119437000000.0,114301000000.0,,,,120594000000.0
OperatingRevenue,274515000000.0,365817000000.0,394328000000.0,383285000000.0,,,,385603000000.0
OtherIncomeExpense,-87000000.0,60000000.0,-228000000.0,-382000000.0,,,,462000000.0
OtherNonOperatingIncomeExpenses,-87000000.0,60000000.0,-228000000.0,-382000000.0,,,,462000000.0
PretaxIncome,67091000000.0,109207000000.0,119103000000.0,113736000000.0,,,,120873000000.0
ReconciledCostOfRevenue,169559000000.0,212981000000.0,223546000000.0,214137000000.0,,,,208372000000.0
ReconciledDepreciation,11056000000.0,11284000000.0,11104000000.0,11519000000.0,,,,11187000000.0
ResearchAndDevelopment,18752000000.0,21914000000.0,26251000000.0,29915000000.0,,,,30912000000.0
SellingGeneralAndAdministration,19916000000.0,21973000000.0,25094000000.0,24932000000.0,,,,25725000000.0
TaxEffectOfUnusualItems,0.0,0.0,0.0,0.0,,,,0.0
TaxProvision,9680000000.0,14527000000.0,19300000000.0,16741000000.0,,,,18917000000.0
TaxRateForCalcs,0.144,0.133,0.162,0.147,,,,0.156503
TotalExpenses,208227000000.0,256868000000.0,274891000000.0,268984000000.0,,,,265009000000.0
TotalOperatingIncomeAsReported,66288000000.0,108949000000.0,119437000000.0,114301000000.0,,,,120594000000.0
TotalRevenue,274515000000.0,365817000000.0,394328000000.0,383285000000.0,,,,385603000000.0
